wave flux npix
#quasar composite spectrum of z>6.5 quasars. Yang et al. 2021
#columns: 1) wavelength; 2) flux; 3) number of quasar spectra used for each pixel
1150.5 -0.019419525709370382 17
1151.5 0.09467935826270028 17
1152.5 0.02864034400700847 17
1153.5 0.015175577231177295 17
1154.5 0.041746159001195965 17
1155.5 0.03553559504704589 17
1156.5 0.028781126135171645 17
1157.5 0.05214972927583787 17
1158.5 -0.038649930276244575 17
1159.5 0.039565350653645505 17
1160.5 0.08655337394023167 17
1161.5 -0.0009810259299508992 17
1162.5 0.01593469656315848 17
1163.5 0.009754505064233797 17
1164.5 0.016447115912527906 17
1165.5 0.0480069189709473 17
1166.5 -0.025063244650068275 17
1167.5 0.025453473075507986 17
1168.5 0.054142070737573135 17
1169.5 0.15802226723465912 17
1170.5 0.16618656636203358 17
1171.5 0.08176134224088673 17
1172.5 0.09744084956829303 17
1173.5 0.0010662343413253492 17
1174.5 -0.007011180342627214 17
1175.5 0.0036175691267232727 17
1176.5 -0.013263038660692112 18
1177.5 0.016847864625394948 18
1178.5 0.0303994853156403 18
1179.5 0.04672189851574432 18
1180.5 0.0497700160583449 18
1181.5 0.10813957062989071 18
1182.5 0.04547587354616169 18
1183.5 0.07127559526748628 18
1184.5 0.0687118821790011 18
1185.5 0.06527190409583945 18
1186.5 0.04712139592568477 18
1187.5 -0.0035986652956840693 18
1188.5 0.013610701277407359 19
1189.5 0.06599887194562813 21
1190.5 0.03789727283820139 21
1191.5 0.016312034964802 21
1192.5 0.0505174027450375 21
1193.5 0.0004319196845562029 21
1194.5 0.05670616414814797 21
1195.5 -0.007986342210216015 21
1196.5 -0.03705395684628492 21
1197.5 -0.015214437150477027 21
1198.5 0.06467499455309132 21
1199.5 0.05634391111465553 21
1200.5 0.05582250745896081 21
1201.5 0.1269760398159109 21
1202.5 0.09695935240018863 21
1203.5 0.04263173401751008 20
1204.5 0.04931427477820028 21
1205.5 0.08379528845315001 21
1206.5 0.27191788802334105 21
1207.5 0.13116548462930125 21
1208.5 0.2682683524672354 19
1209.5 0.25718789720466584 20
1210.5 0.5336773150998854 18
1211.5 0.7705118606277893 21
1212.5 1.0748953309822633 21
1213.5 1.765107697746585 20
1214.5 2.036947608888693 20
1215.5 2.5152852133753165 20
1216.5 2.161360208701502 21
1217.5 3.1382693895125544 20
1218.5 2.988108558725054 20
1219.5 2.8726251780991907 21
1220.5 2.924558038904401 20
1221.5 2.7167349137474766 20
1222.5 2.6691403307067123 20
1223.5 2.657814359291296 20
1224.5 2.842113569347904 21
1225.5 2.517995992732698 21
1226.5 2.6124416837597573 21
1227.5 2.6635587833816956 20
1228.5 2.530284248122109 21
1229.5 2.5566832587614936 20
1230.5 2.627450475033877 21
1231.5 2.5647667387542357 21
1232.5 2.703725411536394 21
1233.5 2.4915190284194484 21
1234.5 2.368965870348706 21
1235.5 2.5807367905634466 21
1236.5 2.368917282527977 21
1237.5 2.497388288004016 21
1238.5 2.5616477696733124 21
1239.5 2.417118201405053 21
1240.5 2.2509964467259724 21
1241.5 2.1880033054465837 21
1242.5 2.1082401040724252 21
1243.5 1.8978991528076556 21
1244.5 1.9909349808661905 20
1245.5 2.061708902335482 21
1246.5 1.63309818943987 20
1247.5 1.6453152013297236 20
1248.5 1.6683639435920623 19
1249.5 1.6468149783927157 21
1250.5 1.6374711413104348 21
1251.5 1.6320162066360118 21
1252.5 1.5554506278046394 19
1253.5 1.5652918688530013 20
1254.5 1.518098630449336 20
1255.5 1.5025054539473632 20
1256.5 1.6206455572727319 20
1257.5 1.6384263762003268 20
1258.5 1.6302893424109925 21
1259.5 1.5495136003738907 21
1260.5 1.5254140811174326 21
1261.5 1.733716986343135 21
1262.5 1.5597752577057449 21
1263.5 1.3441912942174616 21
1264.5 1.407250106611501 19
1265.5 1.434322683195944 19
1266.5 1.5291255651842668 19
1267.5 1.555088616601528 19
1268.5 1.4063429385033233 19
1269.5 1.3128211751264809 19
1270.5 1.335643480706707 19
1271.5 1.4260380488648263 19
1272.5 1.2002172781594367 19
1273.5 1.157685740018918 19
1274.5 1.2368401757052498 19
1275.5 1.1500557956257609 19
1276.5 1.3296912567740138 18
1277.5 1.3515527431623648 18
1278.5 1.1663726591237111 20
1279.5 1.2888329699528358 21
1280.5 1.2302355958001951 21
1281.5 1.0521618517021905 21
1282.5 1.3098411030787827 21
1283.5 1.2556251065981414 21
1284.5 1.1553096574916324 21
1285.5 1.2138796080861949 20
1286.5 1.3323912144532193 21
1287.5 1.2305461584675945 22
1288.5 1.2994991059938 22
1289.5 1.192383531906558 22
1290.5 1.2463293226402636 22
1291.5 1.3150715229115182 22
1292.5 1.197051143636688 22
1293.5 1.3658887025425166 22
1294.5 1.27097656825342 22
1295.5 1.29186282907021 22
1296.5 1.225313780064998 22
1297.5 1.2944833240679814 22
1298.5 1.2450278486068793 22
1299.5 1.288838556116208 22
1300.5 1.4087208008213568 22
1301.5 1.2944835925421605 22
1302.5 1.450534407527451 22
1303.5 1.4107788655569449 22
1304.5 1.4080057082511324 22
1305.5 1.4302534140780812 22
1306.5 1.3550276572600244 22
1307.5 1.4351350518644839 22
1308.5 1.3332667823237385 22
1309.5 1.3309130191703018 22
1310.5 1.2520478536226212 22
1311.5 1.274966119922913 22
1312.5 1.3141308679071309 22
1313.5 1.2258523355459925 22
1314.5 1.2276180825740708 22
1315.5 1.1828652985414658 22
1316.5 1.2173201073637512 22
1317.5 1.203021339987717 22
1318.5 1.2038376320361763 23
1319.5 1.138541813175169 23
1320.5 1.1552663273406507 23
1321.5 1.0950919837003246 23
1322.5 1.1079864684596448 23
1323.5 1.134706747603765 23
